# Program:featureCounts v2.1.1; Command:"featureCounts" "-a" "reference/Saccharomyces_cerevisiae.R64-1-1.61.gtf" "-o" "feature-count/counts.txt" "-t" "exon" "-g" "gene_id" "mapped/batch1_chrI.sam" "mapped/batch2_chrI.sam" "mapped/batch3_chrI.sam" "mapped/chem1_chrI.sam" "mapped/chem2_chrI.sam" "mapped/chem3_chrI.sam" "-p" 
Geneid	Chr	Start	End	Strand	Length	mapped/batch1_chrI.sam	mapped/batch2_chrI.sam	mapped/batch3_chrI.sam	mapped/chem1_chrI.sam	mapped/chem2_chrI.sam	mapped/chem3_chrI.sam
YGR066C	VII	620921	621799	-	879	0	0	0	0	0	0
YGR233C	VII	954674	958210	-	3537	0	0	0	0	0	0
YGR092W	VII	668189	669907	+	1719	0	0	0	0	0	0
YGL041W-A	VII	418825	419289	+	465	0	0	0	0	0	0
YGR171C	VII	840824	842551	-	1728	0	0	0	0	0	0
tW(CCA)G2	VII;VII	878710;878780	878745;878815	-;-	72	0	0	0	0	0	0
YGL171W	VII	182390	184084	+	1695	0	0	0	0	0	0
YGL029W	VII	440063	440425	+	363	0	0	0	0	0	0
YGR040W	VII	575398	576504	+	1107	0	0	0	0	0	0
YGR220C	VII	936074	936883	-	810	0	0	0	0	0	0
YGR268C	VII	1026057	1026653	-	597	0	0	0	0	0	0
YGL147C	VII	227754	228329	-	576	0	0	0	0	0	0
tK(CUU)G1	VII	122269	122341	+	73	0	0	0	0	0	0
YGR144W	VII	780399	781379	+	981	0	0	0	0	0	0
YGR178C	VII	851047	853215	-	2169	0	0	0	0	0	0
YGR113W	VII	718893	719924	+	1032	0	0	0	0	0	0
YGL203C	VII	112475	114664	-	2190	0	0	0	0	0	0
YGL048C	VII	410069	411286	-	1218	0	0	0	0	0	0
YGR207C	VII	910843	911628	-	786	0	0	0	0	0	0
YGR258C	VII	1007671	1010766	-	3096	0	0	0	0	0	0
YGL091C	VII	342056	343042	-	987	0	0	0	0	0	0
YGR093W	VII	670388	671911	+	1524	0	0	0	0	0	0
YGR119C	VII	728046	729671	-	1626	0	0	0	0	0	0
YGR213C	VII	918512	919465	-	954	0	0	0	0	0	0
YGR061C	VII	611889	615965	-	4077	0	0	0	0	0	0
YGL182C	VII	157273	157596	-	324	0	0	0	0	0	0
YGR139W	VII	765726	766064	+	339	0	0	0	0	0	0
YGR121C	VII	731449	732927	-	1479	0	0	0	0	0	0
YGL043W	VII	417483	418412	+	930	0	0	0	0	0	0
YGR280C	VII	1050910	1051725	-	816	0	0	0	0	0	0
YGL085W	VII	349616	350440	+	825	0	0	0	0	0	0
YGL031C	VII	437467	437934	-	468	0	0	0	0	0	0
YGR117C	VII	725049	726479	-	1431	0	0	0	0	0	0
YGR254W	VII	1000927	1002240	+	1314	0	0	0	0	0	0
YGR235C	VII	961360	962061	-	702	0	0	0	0	0	0
YGL124C	VII	274780	276714	-	1935	0	0	0	0	0	0
YGR236C	VII	962530	962817	-	288	0	0	0	0	0	0
YGL164C	VII	191978	193300	-	1323	0	0	0	0	0	0
YGR293C	VII	1079885	1080346	-	462	0	0	0	0	0	0
tL(CAA)G1	VII;VII	205521;205591	205558;205634	+;+	82	0	0	0	0	0	0
YGR264C	VII	1019598	1021853	-	2256	0	0	0	0	0	0
YGL234W	VII	56482	58890	+	2409	0	0	0	0	0	0
YGL109W	VII	303513	303836	+	324	0	0	0	0	0	0
YGL238W	VII	49552	52434	+	2883	0	0	0	0	0	0
YGL041C-B	VII	418704	418886	-	183	0	0	0	0	0	0
YGR056W	VII	601661	604447	+	2787	0	0	0	0	0	0
YGR201C	VII	902520	903197	-	678	0	0	0	0	0	0
YGR239C	VII	969187	970053	-	867	0	0	0	0	0	0
YGR169C-A	VII	836387	836665	-	279	0	0	0	0	0	0
YGR185C	VII	866336	867520	-	1185	0	0	0	0	0	0
YGR189C	VII	876669	878192	-	1524	0	0	0	0	0	0
YGR022C	VII	529257	529586	-	330	0	0	0	0	0	0
YGR290W	VII	1075482	1075925	+	444	0	0	0	0	0	0
YGL205W	VII	108158	110404	+	2247	0	0	0	0	0	0
tK(CUU)G2	VII	185714	185786	-	73	0	0	0	0	0	0
YGL221C	VII	81426	82292	-	867	0	0	0	0	0	0
YGL108C	VII	303649	304071	-	423	0	0	0	0	0	0
YGL069C	VII	375050	375514	-	465	0	0	0	0	0	0
YGL135W	VII	254641	255294	+	654	0	0	0	0	0	0
YGR253C	VII	998358	999140	-	783	0	0	0	0	0	0
YGL053W	VII	402589	403302	+	714	0	0	2	0	2	2
YGL101W	VII	312193	312840	+	648	0	0	0	0	0	0
YGR271C-A	VII	1037800	1038501	-	702	0	0	0	0	0	0
YGR267C	VII	1025004	1025735	-	732	0	0	0	0	0	0
YGR234W	VII	959904	961103	+	1200	0	0	0	0	0	0
YGL251C	VII;VII	27921;31579	31426;31636	-;-	3564	0	0	0	0	0	0
YGL141W	VII	238353	241085	+	2733	0	0	0	0	0	0
YGL245W	VII	39023	41149	+	2127	0	0	0	0	0	0
YGL007W	VII	483260	483637	+	378	0	0	0	0	0	0
YGL005C	VII	489708	490547	-	840	0	0	0	0	0	0
YGL215W	VII	87981	89339	+	1359	0	0	0	0	0	0
YGR173W	VII	843854	844960	+	1107	0	0	0	0	0	0
YGL249W	VII	33098	35212	+	2115	0	0	0	0	0	0
YGR161W-C	VII	810227	810505	+	279	0	0	0	0	0	0
YGR229C	VII	949382	950899	-	1518	0	0	0	0	0	0
YGR070W	VII	627806	631273	+	3468	0	0	0	0	0	0
YGR135W	VII	761392	762168	+	777	0	0	0	0	0	0
YGL014C-A	VII	466237	466398	-	162	0	0	0	0	0	0
YGR225W	VII;VII	945145;946421	946327;947019	+;+	1782	0	0	0	0	0	0
YGL258W	VII	11110	11730	+	621	0	0	0	0	0	0
tT(UGU)G1	VII	661749	661820	+	72	0	0	0	0	0	0
YGL139W	VII	245716	248124	+	2409	0	0	0	0	0	0
YGL172W	VII	180700	182118	+	1419	0	0	0	0	0	0
YGR088W	VII	654634	656322	+	1689	0	0	0	0	0	0
YGL126W	VII	270997	272139	+	1143	0	0	0	0	0	0
YGR140W	VII	767429	770299	+	2871	0	0	0	0	0	0
YGR129W	VII	750400	751047	+	648	0	0	0	0	0	0
YGL027C	VII	443642	446143	-	2502	0	0	0	0	0	0
tL(CAA)G2	VII;VII	423092;423162	423129;423205	+;+	82	0	0	0	0	0	0
YGL231C	VII	63048	63620	-	573	0	0	0	0	0	0
YGL019W	VII	458156	458992	+	837	0	0	0	0	0	0
tR(UCU)G3	VII	736340	736411	+	72	0	0	0	0	0	0
YGR017W	VII	523787	524680	+	894	0	0	0	0	0	0
YGR107W	VII	702667	703116	+	450	0	0	0	0	0	0
YGL039W	VII	423961	425007	+	1047	0	0	0	0	0	0
tL(CAA)G3	VII;VII	857378;857454	857421;857491	-;-	82	0	0	0	0	0	0
YGL123C-A	VII	277634	277864	-	231	0	0	0	0	0	0
YGL002W	VII	494517	495167	+	651	0	0	0	0	0	0
YGR044C	VII	582990	583892	-	903	0	0	0	0	0	0
YGR193C	VII	884509	885741	-	1233	0	0	0	0	0	0
YGL033W	VII;VII;VII	435625;435750;436375	435679;436312;436401	+;+;+	645	0	0	0	0	0	0
YGR165W	VII	829116	830153	+	1038	0	0	0	0	0	0
YGL030W	VII;VII	439091;439324	439093;439638	+;+	318	0	0	0	0	0	0
YGL128C	VII	269293	270144	-	852	0	0	0	0	0	0
YGL063C-A	VII	384502	384651	-	150	0	0	0	0	0	0
YGL007C-A	VII	482941	483027	-	87	0	0	0	0	0	0
YGL175C	VII	173285	174322	-	1038	0	0	0	0	0	0
YGL223C	VII	79112	80365	-	1254	0	0	0	0	0	0
YGR190C	VII	880296	880661	-	366	0	0	0	0	0	0
YGL004C	VII	490703	491956	-	1254	0	0	0	0	0	0
YGL148W	VII	226399	227529	+	1131	0	0	0	0	0	0
YGR281W	VII	1052824	1057257	+	4434	0	0	0	0	0	0
tH(GUG)G2	VII	319781	319852	+	72	0	0	0	0	0	0
tF(GAA)G	VII;VII	440716;440771	440751;440807	-;-	73	0	0	0	0	0	0
YGR078C	VII	639772	640371	-	600	0	0	0	0	0	0
YGL133W	VII	257707	261501	+	3795	0	0	0	0	0	0
tV(AAC)G2	VII	823482	823555	+	74	0	0	0	0	0	0
YGR295C	VII	1081584	1082729	-	1146	0	0	0	0	0	0
YGR048W	VII	589826	590911	+	1086	0	0	0	0	0	0
YGR065C	VII	618077	619858	-	1782	0	0	0	0	0	0
YGL051W	VII	403687	404391	+	705	3	1	3	0	4	1
YGL220W	VII	82374	82736	+	363	0	0	0	0	0	0
YGR019W	VII	525229	526644	+	1416	0	0	0	0	0	0
YGL010W	VII	475545	476069	+	525	0	0	0	0	0	0
YGL090W	VII	343319	344584	+	1266	0	0	0	0	0	0
YGR054W	VII	596693	598621	+	1929	0	0	0	0	0	0
YGR174W-A	VII	846655	846741	+	87	0	0	0	0	0	0
YGL032C	VII	436570	436833	-	264	0	0	0	0	0	0
tE(UUC)G2	VII	401527	401598	-	72	0	0	0	0	0	0
YGL179C	VII	163409	165091	-	1683	0	0	0	0	0	0
tE(UUC)G3	VII	541850	541921	+	72	0	0	0	0	0	0
YGR002C	VII	498476	499906	-	1431	0	0	0	0	0	0
YGL134W	VII	255663	256964	+	1302	0	0	0	0	0	0
YGL235W	VII	55279	55815	+	537	0	0	0	0	0	0
YGL006W	VII	485921	489442	+	3522	0	0	0	0	0	0
YGR028W	VII	542203	543291	+	1089	0	0	0	0	0	0
YGR283C	VII	1059015	1060040	-	1026	0	0	0	0	0	0
YGR249W	VII	988049	989419	+	1371	0	0	0	0	0	0
snR82	VII	316788	317055	+	268	0	0	0	0	0	0
snR7-L	VII	939459	939672	-	214	0	0	0	0	0	0
YGL232W	VII;VII	62075;62190	62131;63002	+;+	870	0	0	0	0	0	0
YGL157W	VII	209006	210049	+	1044	0	0	0	0	0	0
YGL118C	VII	288014	288451	-	438	0	0	0	0	0	0
YGR012W	VII	513159	514340	+	1182	0	0	0	0	0	0
YGR242W	VII	976415	976723	+	309	0	0	0	0	0	0
YGR014W	VII	516943	520863	+	3921	0	0	0	0	0	0
YGR038C-A	VII	566145	567467	-	1323	0	0	0	0	0	0
YGR161C-C	VII	821693	823015	-	1323	0	0	0	0	0	0
YGR027W-A	VII	536057	537379	+	1323	0	0	0	0	0	0
YGR109W-A	VII	707610	708482	+	873	0	0	0	0	0	0
YGR027W-B	VII	536057	541325	+	5269	0	0	0	0	0	0
YGR038C-B	VII	562199	567467	-	5269	0	0	0	0	0	0
YGR161C-D	VII	817747	823015	-	5269	0	0	0	0	0	0
YGR161W-A	VII	811738	813054	+	1317	0	0	0	0	0	0
YGR109W-B	VII	707610	712254	+	4645	0	0	0	0	0	0
YGR161W-B	VII	811738	817051	+	5314	0	0	0	0	0	0
YLL050C	XII;XII	39804;40401	40221;40414	-;-	432	0	0	0	0	0	0
YLL032C	XII	74270	76747	-	2478	0	0	0	0	0	0
YLR466W	XII	1067087	1071235	+	4149	0	0	0	0	0	0
YLR054C	XII;XII	248717;250948	250860;250978	-;-	2175	0	0	0	0	0	0
YLR437C	XII	1011622	1012023	-	402	0	0	0	0	0	0
YLR217W	XII	572909	573232	+	324	0	0	0	0	0	0
YLL056C	XII	27409	28305	-	897	0	0	0	0	0	0
YLR128W	XII;XII	398530;398627	398532;399433	+;+	810	0	0	0	0	0	0
YLR279W	XII	704309	704698	+	390	0	0	0	0	0	0
YLR075W	XII	282927	283592	+	666	0	0	0	0	0	0
YLR052W	XII	247201	247953	+	753	0	0	0	0	0	0
YLR159C-A	XII	485711	485842	-	132	0	0	0	0	0	0
YLR025W	XII	194452	195174	+	723	0	0	0	0	0	0
YLR049C	XII	243886	245172	-	1287	0	0	0	0	0	0
YLR308W	XII	747937	748875	+	939	0	0	0	0	0	0
YLR032W	XII	204991	208500	+	3510	0	0	0	0	0	0
ETS2-2	XII	460712	460922	-	211	0	0	0	0	0	0
YLR251W	XII	641464	642057	+	594	0	0	0	0	0	0
YLR321C	XII	776584	777864	-	1281	0	0	0	0	0	0
YLR327C	XII	783127	783387	-	261	0	0	0	0	0	0
YLR154C-H	XII	468827	468958	-	132	0	0	0	0	0	0
YLR247C	XII	628684	633354	-	4671	0	0	0	0	0	0
YLR167W	XII	498947	499405	+	459	0	0	0	0	0	0
YLR220W	XII	576825	577793	+	969	0	0	0	0	0	0
YLR455W	XII	1053629	1054543	+	915	0	0	0	0	0	0
YLR282C	XII	705071	705412	-	342	0	0	0	0	0	0
YLR094C	XII	327730	329238	-	1509	0	0	0	0	0	0
YLR272C	XII	683672	687202	-	3531	0	0	0	0	0	0
YLR264C-A	XII	673828	673944	-	117	0	0	0	0	0	0
YLR338W	XII	804346	805203	+	858	0	0	0	0	0	0
YLR181C	XII	516678	517670	-	993	0	0	0	0	0	0
YLR458W	XII	1056455	1056835	+	381	0	0	0	0	0	0
YLR180W	XII	515262	516410	+	1149	0	0	0	0	0	0
YLR250W	XII	640317	641021	+	705	0	0	0	0	0	0
YLR222C-A	XII	582006	582236	-	231	0	0	0	0	0	0
YLR424W	XII	973395	975521	+	2127	0	0	0	0	0	0
YLR253W	XII	642627	644336	+	1710	0	0	0	0	0	0
YLR390W-A	XII	903724	904440	+	717	0	0	0	0	0	0
YLR233C	XII	607425	609524	-	2100	0	0	0	0	0	0
YLR347W-A	XII	824789	824929	+	141	0	0	0	0	0	0
YLR117C	XII	382471	384534	-	2064	0	0	0	0	0	0
YLR110C	XII	369697	370098	-	402	0	0	0	0	0	0
YLR072W	XII	278862	280943	+	2082	0	0	0	0	0	0
YLR069C	XII	271630	273915	-	2286	0	0	0	0	0	0
YLR403W	XII	925568	927619	+	2052	0	0	0	0	0	0
YLR008C	XII	165577	166083	-	507	0	0	0	0	0	0
YLR231C	XII	605758	607119	-	1362	0	0	0	0	0	0
YLR264W	XII	673131	673334	+	204	0	0	0	0	0	0
YLR164W	XII	493883	494389	+	507	0	0	0	0	0	0
YLR079W	XII	286820	287674	+	855	0	0	0	0	0	0
YLR103C	XII	343989	345941	-	1953	0	0	0	0	0	0
YLR170C	XII	500579	501049	-	471	0	0	0	0	0	0
YLR228C	XII	600019	602463	-	2445	0	0	0	0	0	0
YLL036C	XII	66745	68256	-	1512	0	0	0	0	0	0
YLR467C-A	XII	1077050	1077532	-	483	0	0	0	0	0	0
YLR198C	XII	547286	547645	-	360	0	0	0	0	0	0
snR61	XII	794486	794575	-	90	0	0	0	0	0	0
YLR411W	XII	947253	947978	+	726	0	0	0	0	0	0
YLR056W	XII	253861	254958	+	1098	0	0	0	0	0	0
YLR429W	XII	990777	992732	+	1956	0	0	0	0	0	0
YLL060C	XII	21138	21839	-	702	0	0	0	0	0	0
YLR310C	XII	752224	756993	-	4770	0	0	0	0	0	0
YLR342W	XII	809997	815627	+	5631	0	0	0	0	0	0
YLR017W	XII	177608	178621	+	1014	0	0	0	0	0	0
tL(UAG)L2	XII;XII	732090;732147	732127;732190	+;+	82	0	0	0	0	0	0
YLR304C	XII	735212	737548	-	2337	0	0	0	0	0	0
YLL052C	XII	35912	36361	-	450	0	0	0	0	0	0
YLR027C	XII	196829	198085	-	1257	0	0	0	0	0	0
YLR214W	XII	568567	570627	+	2061	0	0	0	0	0	0
ITS2-2	XII	464319	464550	-	232	0	0	0	0	0	0
YLL062C	XII	16639	17613	-	975	0	0	0	0	0	0
YLR378C	XII	875736	877178	-	1443	0	0	0	0	0	0
YLR023C	XII	185498	187129	-	1632	0	0	0	0	0	0
YLR425W	XII	982894	986817	+	3924	0	0	0	0	0	0
YLR073C	XII	281019	281621	-	603	0	0	0	0	0	0
YLL008W	XII	131729	133987	+	2259	0	0	0	0	0	0
YLL063C	XII	14648	16072	-	1425	0	0	0	0	0	0
YLR449W	XII	1030834	1032012	+	1179	0	0	0	0	0	0
YLL046C	XII	46714	47463	-	750	0	0	0	0	0	0
YLR089C	XII	318237	320015	-	1779	0	0	0	0	0	0
RDN18-1	XII	455933	457732	-	1800	0	0	0	0	0	0
YLR020C	XII	181789	183405	-	1617	0	0	0	0	0	0
YLR190W	XII	535214	536689	+	1476	0	0	0	0	0	0
YLR045C	XII	235037	237703	-	2667	0	0	0	0	0	0
YLR285W	XII	707360	708145	+	786	0	0	0	0	0	0
YLR322W	XII	777628	777942	+	315	0	0	0	0	0	0
YLR276C	XII	695046	696830	-	1785	0	0	0	0	0	0
YLR346C	XII	822287	822592	-	306	0	0	0	0	0	0
YLR156W	XII	472113	472457	+	345	0	0	0	0	0	0
YLR135W	XII	413281	415527	+	2247	0	0	0	0	0	0
YLR261C	XII	668237	668563	-	327	0	0	0	0	0	0
YLL066C	XII;XII	6120;9550	9450;9836	-;-	3618	0	0	0	0	0	0
YLR077W	XII	283872	285623	+	1752	0	0	0	0	0	0
YLR144C	XII	429677	432016	-	2340	0	0	0	0	0	0
YLR414C	XII	953353	954144	-	792	0	0	0	0	0	0
YLR030W	XII	203290	204081	+	792	0	0	0	0	0	0
YLR301W	XII	730825	731559	+	735	0	0	0	0	0	0
YLR252W	XII	641957	642262	+	306	0	0	0	0	0	0
YLR427W	XII	988428	990440	+	2013	0	0	0	0	0	0
YLR200W	XII	549012	549356	+	345	0	0	0	0	0	0
YLR150W	XII	440467	441288	+	822	0	0	0	0	0	0
YLL021W	XII	100947	105347	+	4401	0	0	0	0	0	0
YLR078C	XII;XII	285736;286557	286467;286559	-;-	735	0	0	0	0	0	0
YLR153C	XII	445524	447575	-	2052	0	0	0	0	0	0
YLR404W	XII	928743	929600	+	858	0	0	0	0	0	0
YLR014C	XII	172268	174982	-	2715	0	0	0	0	0	0
YLL005C	XII	137940	140546	-	2607	0	0	0	0	0	0
tQ(UUG)L	XII	448650	448721	-	72	0	0	0	0	0	0
YLR262C	XII	668244	668891	-	648	0	0	0	0	0	0
YLR296W	XII	722978	723304	+	327	0	0	0	0	0	0
YLR234W	XII	609783	611753	+	1971	0	0	0	0	0	0
YLR096W	XII	332590	336033	+	3444	0	0	0	0	0	0
YLR271W	XII	682737	683561	+	825	0	0	0	0	0	0
YLR033W	XII	208761	210269	+	1509	0	0	0	0	0	0
YLR278C	XII	699999	704024	-	4026	0	0	0	0	0	0
YLL055W	XII	30109	31704	+	1596	0	0	0	0	0	0
YLR266C	XII	675619	677724	-	2106	0	0	0	0	0	0
YLL030C	XII	80356	80697	-	342	0	0	0	0	0	0
YLR323C	XII	778173	778952	-	780	0	0	0	0	0	0
YLR007W	XII	164392	165402	+	1011	0	0	0	0	0	0
YLR406C-A	XII	932206	932355	-	150	0	0	0	0	0	0
YLL015W	XII	116432	121111	+	4680	0	0	0	0	0	0
YLR343W	XII	816094	817761	+	1668	0	0	0	0	0	0
YLR269C	XII	680866	681216	-	351	0	0	0	0	0	0
tN(GUU)L	XII	975983	976056	-	74	0	0	0	0	0	0
YLR210W	XII	562008	563390	+	1383	0	0	0	0	0	0
YLR058C	XII	257992	259401	-	1410	0	0	0	0	0	0
YLR145W	XII	432168	432773	+	606	0	0	0	0	0	0
YLR080W	XII	287916	289250	+	1335	0	0	0	0	0	0
YLR443W	XII	1022625	1023971	+	1347	0	0	0	0	0	0
YLR325C	XII	781143	781379	-	237	0	0	0	0	0	0
YLL006W	XII	136586	137866	+	1281	0	0	0	0	0	0
YLR074C	XII	281956	282456	-	501	0	0	0	0	0	0
RDN5-5	XII	485697	485815	+	119	0	0	0	0	0	0
YLR311C	XII	757265	757612	-	348	0	0	0	0	0	0
YLR191W	XII	537272	538432	+	1161	0	0	0	0	0	0
YLR235C	XII	611532	611930	-	399	0	0	0	0	0	0
YLR364C-A	XII	855523	855645	-	123	0	0	0	0	0	0
ITS2-1	XII	455182	455413	-	232	0	0	0	0	0	0
YLR288C	XII	713480	714904	-	1425	0	0	0	0	0	0
YLL001W	XII	147890	150163	+	2274	0	0	0	0	0	0
YLR409C	XII	934414	937233	-	2820	0	0	0	0	0	0
YLR099C	XII	339744	340928	-	1185	0	0	0	0	0	0
YLR131C	XII	404510	406822	-	2313	0	0	0	0	0	0
YLR362W	XII	849866	852019	+	2154	0	0	0	0	0	0
YLR256W	XII	646415	650923	+	4509	0	0	0	0	0	0
YLR068W	XII	271008	271463	+	456	0	0	0	0	0	0
YLR101C	XII	342566	342961	-	396	0	0	0	0	0	0
YLR341W	XII	807385	808818	+	1434	0	0	0	0	0	0
YLL054C	XII	32673	35204	-	2532	0	0	0	0	0	0
YLR186W	XII	523632	524390	+	759	0	0	0	0	0	0
YLR143W	XII	427329	429386	+	2058	0	0	0	0	0	0
YLR368W	XII	857540	859336	+	1797	0	0	0	0	0	0
YLR393W	XII	907079	907918	+	840	0	0	0	0	0	0
YLR176C	XII	507797	510232	-	2436	0	0	0	0	0	0
YLR126C	XII	394765	395520	-	756	0	0	0	0	0	0
YLR099W-A	XII	341325	341588	+	264	0	0	0	0	0	0
YLR423C	XII	971917	973170	-	1254	0	0	0	0	0	0
YLR357W	XII	841331	844000	+	2670	0	0	0	0	0	0
YLR197W	XII	546097	547611	+	1515	0	0	0	0	0	0
ETS1-1	XII	457733	458432	-	700	0	0	0	0	0	0
YLR187W	XII	524865	527945	+	3081	0	0	0	0	0	0
RDN5-2	XII	468813	468931	+	119	0	0	0	0	0	0
YLL034C	XII	70633	73146	-	2514	0	0	0	0	0	0
YLL023C	XII	97997	98836	-	840	0	0	0	0	0	0
YLR065C	XII	266373	266918	-	546	0	0	0	0	0	0
YLL031C	XII	77152	80205	-	3054	0	0	0	0	0	0
YLR419W	XII	958428	962735	+	4308	0	0	0	0	0	0
YLR149C-A	XII	440370	440456	-	87	0	0	0	0	0	0
YLR294C	XII	721701	722030	-	330	0	0	0	0	0	0
YLR405W	XII	929789	930892	+	1104	0	0	0	0	0	0
YLR157C-C	XII	482059	482190	-	132	0	0	0	0	0	0
YLR463C	XII	1066265	1066816	-	552	0	0	0	0	0	0
YLR026C	XII	195450	196472	-	1023	0	0	0	0	0	0
YLR267W	XII	678212	679924	+	1713	0	0	0	0	0	0
YLR093C	XII;XII	326513;327400	327258;327415	-;-	762	0	0	0	0	0	0
YLR085C	XII	300673	301989	-	1317	0	0	0	0	0	0
YLR246W	XII	627118	628197	+	1080	0	0	0	0	0	0
YLR433C	XII	1004347	1006008	-	1662	0	0	0	0	0	0
YLR227C	XII	590562	592043	-	1482	0	0	0	0	0	0
YLR012C	XII	169982	170281	-	300	0	0	0	0	0	0
YLR111W	XII	370391	370723	+	333	0	0	0	0	0	0
YLR152C	XII	442958	444688	-	1731	0	0	0	0	0	0
YLR370C	XII	861718	862254	-	537	0	0	0	0	0	0
YLL026W	XII	88623	91349	+	2727	0	0	0	0	0	0
YLR289W	XII	715089	717026	+	1938	0	0	0	0	0	0
YLL066W-B	XII	5605	5775	+	171	0	0	0	0	0	0
YLR114C	XII	374944	377238	-	2295	0	0	0	0	0	0
YLR213C	XII	566654	567922	-	1269	0	0	0	0	0	0
YLR146C	XII	432823	433725	-	903	0	0	0	0	0	0
YLR445W	XII;XII	1024189;1024655	1024572;1024837	+;+	567	0	0	0	0	0	0
RDN18-2	XII	465070	466869	-	1800	0	0	0	0	0	0
YLR169W	XII	500335	500688	+	354	0	0	0	0	0	0
YLR202C	XII;XII	550194;550575	550458;550636	-;-	327	0	0	0	0	0	0
YLL053C	XII	35503	35961	-	459	0	0	0	0	0	0
YLR333C	XII	795573	795899	-	327	0	0	0	0	0	0
YLR082C	XII	292394	293572	-	1179	0	0	0	0	0	0
YLR193C	XII	540009	540536	-	528	0	0	0	0	0	0
YLL043W	XII	49938	51947	+	2010	0	0	0	0	0	0
YLR337C	XII	802653	805106	-	2454	0	0	0	0	0	0
YLL066W-A	XII	6486	6968	+	483	0	0	0	0	0	0
YLR039C	XII	225426	228596	-	3171	0	0	0	0	0	0
YLR457C	XII	1055812	1056771	-	960	0	0	0	0	0	0
YLR377C	XII	873746	874792	-	1047	0	0	0	0	0	0
YLR104W	XII	346585	346980	+	396	0	0	0	0	0	0
YLR319C	XII	769318	771684	-	2367	0	0	0	0	0	0
YLR184W	XII	522106	522453	+	348	0	0	0	0	0	0
YLR317W	XII	765655	766089	+	435	0	0	0	0	0	0
YLL003W	XII	143201	146041	+	2841	0	0	0	0	0	0
YLR004C	XII	157934	159505	-	1572	0	0	0	0	0	0
YLR407W	XII	932967	933653	+	687	0	0	0	0	0	0
YLR336C	XII	799697	802396	-	2700	0	0	0	0	0	0
YLR430W	XII	993434	1000129	+	6696	0	0	0	0	0	0
YLR436C	XII	1007421	1011245	-	3825	0	0	0	0	0	0
YLR347C	XII	823828	826413	-	2586	0	0	0	0	0	0
YLR324W	XII	779215	780786	+	1572	0	0	0	0	0	0
tV(AAC)L	XII	687859	687932	-	74	0	0	0	0	0	0
YLR460C	XII	1059757	1060887	-	1131	0	0	0	0	0	0
YLR113W	XII	371620	372927	+	1308	0	0	0	0	0	0
YLR046C	XII	238001	238813	-	813	0	0	0	0	0	0
YLR125W	XII	393484	393894	+	411	0	0	0	0	0	0
YLR196W	XII	543968	545698	+	1731	0	0	0	0	0	0
YLR363W-A	XII	853461	853718	+	258	0	0	0	0	0	0
YLL061W	XII	17956	19707	+	1752	0	0	0	0	0	0
YLR119W	XII	385534	386175	+	642	0	0	0	0	0	0
snR57	XII	794937	795024	-	88	0	0	0	0	0	0
YLL020C	XII	105556	105861	-	306	0	0	0	0	0	0
YLR163C	XII	491866	493254	-	1389	0	0	0	0	0	0
YLL014W	XII	121322	121648	+	327	0	0	0	0	0	0
YLR129W	XII	399657	402488	+	2832	0	0	0	0	0	0
tD(GUC)L2	XII	793918	793989	+	72	0	0	0	0	0	0
YLR173W	XII	502421	504247	+	1827	0	0	0	0	0	0
YLR090W	XII	320701	322080	+	1380	0	0	0	0	0	0
YLR286W-A	XII	708562	708696	+	135	0	0	0	0	0	0
snR55	XII	794697	794794	-	98	0	0	0	0	0	0
YLR259C	XII	663284	665002	-	1719	0	0	0	0	0	0
YLR219W	XII	574151	576337	+	2187	0	0	0	0	0	0
YLR401C	XII	922442	924448	-	2007	0	0	0	0	0	0
YLL058W	XII	23569	25296	+	1728	0	0	0	0	0	0
YLR177W	XII	511054	512940	+	1887	0	0	0	0	0	0
YLR415C	XII	954259	954597	-	339	0	0	0	0	0	0
YLR467W	XII	1072508	1077898	+	5391	0	0	0	0	0	0
YLR302C	XII	732191	732553	-	363	0	0	0	0	0	0
YLR185W	XII;XII	522663;523029	522669;523288	+;+	267	0	0	0	0	0	0
YLR060W	XII	260979	262766	+	1788	0	0	0	0	0	0
YLR313C	XII	760750	762342	-	1593	0	0	0	0	0	0
YLR303W	XII	732542	733876	+	1335	0	0	0	0	0	0
YLR154W-B	XII	454392	454556	+	165	0	0	0	0	0	0
YLL029W	XII	81461	83710	+	2250	0	0	0	0	0	0
YLL047W	XII	46672	47055	+	384	0	0	0	0	0	0
YLR285C-A	XII	708168	708338	-	171	0	0	0	0	0	0
YLR001C	XII	151389	153977	-	2589	0	0	0	0	0	0
snR79	XII	348427	348510	-	84	0	0	0	0	0	0
YLR465C	XII	1067045	1067353	-	309	0	0	0	0	0	0
YLR015W	XII	175227	176744	+	1518	0	0	0	0	0	0
YLR432W	XII	1002557	1004128	+	1572	0	0	0	0	0	0
YLR081W	XII	290212	291936	+	1725	0	0	0	0	0	0
YLR166C	XII	495429	498044	-	2616	0	0	0	0	0	0
YLR383W	XII	885288	888632	+	3345	0	0	0	0	0	0
YLR035C	XII	212369	214456	-	2088	0	0	0	0	0	0
YLR044C	XII	232390	234081	-	1692	0	0	0	0	0	0
YLR293C	XII	720771	721430	-	660	0	0	0	0	0	0
YLR399W-A	XII	920869	920973	+	105	0	0	0	0	0	0
YLR192C	XII	538792	539589	-	798	0	0	0	0	0	0
